DEPTH,CMRP_3ms,CMFF,BVI,Kair,Cpor
13929.97793,0.1316631,0.0818044,0.0509913,3.64461,0.1495825
13932.00405,0.1336469,0.0795142,0.0548236,1.68617,0.1148987
13934.03335,0.1277747,0.0826137,0.0458215,5.46924,0.1645569
13935.99172,0.128456,0.085452,0.0443823,7.42212,0.1619046
13937.97049,0.1319835,0.0872454,0.0424692,10.75113,0.1264759
13939.99798,0.1390295,0.0793743,0.0618715,4.83911,0.1202332
13942.03135,0.1344371,0.0676344,0.0641314,1.67299,0.1436238
13944.02297,0.103619,0.0455334,0.0512052,0.51671,0.1186845
13946.02758,0.0528566,0.0273906,0.0195774,0.10694,0.0427086
13975.99472,0.0328692,0.0167556,0.0234428,0.20469,0.0308325
13977.98553,0.0630453,0.0403874,0.0303071,0.54578,0.0839796
13980.01707,0.0969266,0.0663428,0.0347362,1.62933,0.0771915
13982.02795,0.110589,0.0683322,0.0422585,4.5099,0.1377839
13984.02655,0.0943695,0.0467861,0.038546,0.75451,0.0850963
13986.02699,0.0521561,0.025307,0.0211222,0.16917,0.0215069
14017.99823,0.0646781,0.0291028,0.0441481,0.32849,0.0323232
14020.01371,0.0967815,0.042749,0.0571294,1.76611,0.0769115
14021.98961,0.1200594,0.0573187,0.0627407,0.7254,0.1572899
14023.97974,0.1191951,0.0609431,0.0590507,0.6061,0.1521768
14025.9714,0.1283755,0.061536,0.069121,2.47608,0.1562565
14027.96646,0.1294665,0.0571255,0.0756875,0.53205,0.1164084
14030.01993,0.1366547,0.057781,0.0786349,0.70497,0.1413364
14031.97533,0.1383438,0.0699093,0.058714,1.09655,0.1243975
14034.03423,0.1396499,0.0920266,0.0476232,6.46158,0.144791
14036.01475,0.1476489,0.1045552,0.0449653,6.45648,0.1701854
14037.99703,0.1438534,0.1029616,0.0413544,7.07498,0.1294416
14039.96193,0.1418712,0.1004758,0.0396802,5.40124,0.1367066
14041.96063,0.1339937,0.0973861,0.0359476,4.29024,0.1000045
14044.01866,0.1316217,0.0957929,0.0358288,3.36317,0.1017589
14046.01431,0.1311386,0.0960866,0.0339513,25.77594,0.1024577
14047.99466,0.1332363,0.0968452,0.0352989,17.4287,0.1318294
14050.01562,0.135869,0.0995582,0.0359384,24.60304,0.1335585
14051.99008,0.1378118,0.099804,0.0411398,10.85984,0.1488184
14054.02533,0.1434583,0.0990641,0.0462762,18.28485,0.103672
14056.01264,0.154421,0.0984788,0.0559422,5.94488,0.1612168
14058.03768,0.1556854,0.0976255,0.0574526,4.52555,0.136016
14059.97695,0.1678079,0.1095604,0.059157,18.68865,0.1853947
14061.97313,0.1823326,0.1200394,0.0623355,26.93144,0.1440472
14064.03802,0.1607567,0.1019505,0.0492247,14.40381,0.1754489
14065.96352,0.1137032,0.0692364,0.040997,1.34224,0.1299766
14068.01061,0.0736674,0.0392261,0.0269489,0.52362,0.1120346
14070.02976,0.0509378,0.0267217,0.0200899,0.24641,0.0647023
14093.97393,0.0341512,0.0181614,0.0217445,0.14456,0.0300917
14095.96179,0.0877589,0.0525965,0.0428007,2.43668,0.103535
14098.01426,0.1279568,0.0925174,0.0409825,5.09165,0.1230808
14100.00312,0.1442156,0.1049822,0.041995,16.015,0.1568557
14102.01799,0.1494258,0.104518,0.0451129,11.78518,0.109673
14104.02903,0.1487651,0.0979222,0.0526449,4.00832,0.1551273
14106.00924,0.1474885,0.0976137,0.0499653,27.46749,0.1307899
14107.99519,0.1429884,0.0984945,0.0454529,26.4683,0.1276175
14110.02554,0.1406521,0.0994583,0.0400561,16.25302,0.1174479
14112.00203,0.1373562,0.0982,0.0381194,28.52035,0.1305777
14114.03425,0.1383595,0.0987574,0.0407265,4.07162,0.1479331
14116.03221,0.1443596,0.0974648,0.0464248,4.63355,0.162753
14118.03822,0.1447457,0.0988693,0.0486314,11.69717,0.1502274
14120.00564,0.1466012,0.0986949,0.0480501,11.79923,0.1794324
14121.96315,0.1529073,0.0988762,0.0562471,3.92746,0.1601799
14123.99719,0.1552467,0.0993308,0.0528654,10.6303,0.1352828
14125.9941,0.1492751,0.0983057,0.0475267,9.24899,0.1822913
14128.02437,0.1351259,0.0936963,0.039821,6.14877,0.167071
14130.0007,0.1359019,0.0858048,0.0457957,4.72497,0.1631062
14131.96914,0.1133809,0.067258,0.0404704,1.54911,0.1231123
14133.97923,0.0883097,0.0411951,0.039512,0.62989,0.1186178
14135.98015,0.0562616,0.0231422,0.0253165,0.33448,0.0611413
14138.03516,0.0255877,0.0124305,0.0108954,0.10242,0.013277
