PERMEABILITY,POROSITY,G1,PD1,G2,PD2,BV1,BV2,Mode
0.138,0.12535,0.81694,212.37,0.15,1000,17.498,0,0.39383
0.151,0.072279,1.421,61.126,0.15,1000,10.828,0,0.6831
0.113,0.064172,1.1476,100.31,0.15,1000,9.1209,0,0.57005
0.355,0.078593,1.076,48.17,0.15,1000,10.267,0,1.28897
3.26,0.12741,2.9331,7.4569,0.15,1000,26.737,0,0.9839
0.109,0.081327,1.2252,94.685,0.15,1000,11.923,0,0.55236
0.212,0.059464,1.9092,43.113,0.15,1000,10.329,0,0.55243
0.219,0.066633,1.6173,48.36,0.15,1000,10.765,0,0.68895
0.074,0.056149,0.55152,167.14,1.1924,1098.1,2.5703,6.99,0.67902
0.095,0.066708,1.7569,61.093,0.15,1000,11.842,0,0.46447
0.069,0.089268,0.98283,120.44,0.15,1000,12.819,0,0.57383
0.107,0.11423,0.87898,118.7,0.15,1000,16.035,0,0.65609
1030,0.15858,0.19323,3.6654,0.53995,72.559,10.616,4.8851,46.75046
196,0.20372,0.31671,4.5251,0.47068,84.899,14.522,8.0278,32.85552
0.046,0.063398,0.18791,258.63,1.5921,698.43,2.8735,8.3018,0.66663
0.196,0.084933,0.50334,206.21,0.15,1000,10.105,0,0.58172
2.15,0.07745,0.43186,20.873,0.15,1000,8.3961,0,6.23938
0.622,0.056598,0.40092,55.383,0.15,1000,5.7824,0,2.4367
0.048,0.066385,0.76919,311.04,0.15,1000,9.0054,0,0.28408
0.936,0.16461,0.63762,66.192,0.15,1000,19.062,0,1.55295
0.393,0.15417,0.18977,136.42,2.1705,138.22,7.0102,18.945,1.26112
0.134,0.0964,0.65557,217.41,0.15,1000,12.318,0,0.46315
0.281,0.10229,0.43029,176.18,0.15,1000,11.919,0,0.74055
0.357,0.069729,0.27575,149.39,0.15,1000,7.2541,0,1.04321
0.853,0.066012,0.36484,66.563,0.15,1000,6.8401,0,2.11332
6.1,0.083101,0.81375,12.927,0.2288,164.7,7.6431,1.7602,6.49378
0.067,0.069663,0.32504,248.55,0.15,1000,7.4542,0,0.59246
0.419,0.05481,0.32321,61.611,0.15,1000,5.5539,0,2.39515
5.22,0.072573,0.30378,18.624,0.15,1000,7.1676,0,8.10254
10.1,0.067422,0.43413,10.65,0.15,1000,7.1489,0,12.19672
0.069,0.054575,0.26198,164.39,0.15,1000,5.2696,0,0.96315
0.059,0.080672,0.22655,287.89,0.15,1000,8.351,0,0.57285
10,0.082091,0.53839,9.0378,0.15,1000,8.9321,0,12.74848
0.528,0.10951,1.765,34.014,0.15,1000,18.498,0,0.82651
5.978,0.09242,0.90448,29.339,0.15,1000,11.21,0,2.57772
0.178,0.097553,1.7034,54.707,0.15,1000,16.584,0,0.5516
0.235,0.10216,0.24128,154.44,1.8032,360.04,7.0196,8.2549,1.0499
0.139,0.066883,1.3114,97.9,0.15,1000,10.249,0,0.4838
0.338,0.093722,0.72356,93.827,0.84259,1772.9,7.9399,4.6223,0.99246
0.284,0.0875,0.4478,116.66,3.4955,349.79,5.7046,19.013,1.09608
220,0.19428,0.15736,6.7219,0.78668,179.01,12.979,8.9597,26.56624
130,0.17196,0.25805,7.3884,1.2203,500.66,14.192,5.6481,21.52699
0.154,0.063513,0.39086,116.14,3.8165,397.15,2.9781,20.392,1.1755
0.121,0.15468,0.25622,64.568,3.8652,82.386,8.2656,26.857,2.46848
5.08,0.17989,1.3081,10.628,0.15,1000,25.272,0,4.47349
0.703,0.16,1.0396,27.248,0.068325,1134.2,18.887,1.6226,2.37609
0.006,0.077244,2.2166,52.487,0.15,1000,15.094,0,0.31864
0.003,0.067797,1.0624,122.34,0.15,1000,10.077,0,0.51552
0.509,0.13557,0.49762,51.872,0.15,1000,15.332,0,2.32782
0.398,0.144,0.39678,28.963,0.47514,78.465,6.5691,9.8518,4.68169
